index,from_a,to_b,route_time,route_km,operating,geom,dur_min,sector,inner_sector
0,Michaľany,Ruskov,24 min,26 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,24,SK HOBO CORE,se
0,Nižná Myšľa,Ruskov,10 min,7 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,10,SK HOBO CORE,se
0,Slanec,Ruskov,5 min,7 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,5,SK HOBO CORE,se
0,Slovenské Nové Mesto,Ruskov,35 min,40 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,35,SK HOBO CORE,se
0,Somotor,Ruskov,51 min,51 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,51,SK HOBO CORE,se
0,Vyšná Myšľa,Ruskov,7 min,5 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,7,SK HOBO CORE,se
0,Streda nad Bodrogom,Ruskov,44 min,48 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,44,SK HOBO CORE,se
0,Bohdanovce,Slanec,10 min,10 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,10,SK HOBO CORE,se
0,Borša,Slanec,34 min,37 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,34,SK HOBO CORE,se
0,Čerhov,Slanec,24 min,26 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,24,SK HOBO CORE,se
0,Kalša,Slanec,5 min,5 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,5,SK HOBO CORE,se
0,Kuzmice,Slanec,11 min,11 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,11,SK HOBO CORE,se
0,Michaľany,Slanec,18 min,19 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,18,SK HOBO CORE,se
0,Nižná Myšľa,Slanec,16 min,14 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,16,SK HOBO CORE,se
0,Ruskov,Slanec,6 min,7 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,6,SK HOBO CORE,se
