nam,objectid,min,nm4,status_en,further_use_en,poznamka,geom
Kľučiarovský potok,1256,248.1418825,Rákoš,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000C01E49ACB96C3540508891DC1C524840
Kľučiarovský potok,1653,585.6484922,Bohdanovce,"modified (overlay, landscaping, etc.)",n/a,Skládka TKO. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000000891648EC69354038E63B86F4524840
Kopaný jarok,1956,933.2242612,Hraň,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000B0945C3A70C73540B8879BF88F464840
Kopaný jarok,1957,847.2118778,Hraň,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000A09AA922F2C73540089DAF7D74464840
Košariský potok,4921,379.6593666,Košice-Košická Nová Ves,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000E0A2FF64DA4F3540F8A09357075E4840
Kuzmický potok,1520,138.1436375,Kuzmice,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000905BAB2EC1933540D823385BE4494840
Kuzmický potok,1605,14.37854553,Kuzmice,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000003EB9BFDD903540B87C65F7474B4840
Kuzmický potok,1606,8.69874108,Kuzmice,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000E0E67E424E9235404842C8D7B04A4840
Kuzmický potok,1607,2.90911326,Kuzmice,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000C08D7768D492354058F302AA474A4840
Kuzmický potok,3592,435.1249864,Kuzmice,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E610000001000000010100000030084E85119335401056241244494840
Kuzmický potok,3667,636.3102937,Slivník,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E6100000010000000101000000608DE6474A8E35401823AA0EFE4B4840
Kuzmický potok,3668,802.8552842,Slivník,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000D0B334BF3391354090855AD33C4C4840
Lebenský potok,1247,838.5054783,Vyšná Hutka,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000D0A4993DBC59354048B820608F564840
